epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,539.592,1.69473,0.87904,1.16028,0.78301,0.62156,0.69699,0.3225,1.92688,1.12905,1.34824,0.000416,0.000416,0.000416
82,545.973,1.6486,0.85304,1.14908,0.7897,0.63579,0.70182,0.32173,1.94087,1.08683,1.36264,0.0003962,0.0003962,0.0003962
83,552.265,1.66329,0.86712,1.15109,0.78683,0.60108,0.67071,0.31271,1.95497,1.15283,1.36387,0.0003764,0.0003764,0.0003764
84,558.982,1.69625,0.87758,1.1724,0.77074,0.61728,0.67812,0.31389,1.96331,1.14839,1.37075,0.0003566,0.0003566,0.0003566
85,565.742,1.67303,0.87351,1.16315,0.79555,0.64433,0.70306,0.32002,1.9527,1.08097,1.36562,0.0003368,0.0003368,0.0003368
86,572.462,1.64286,0.84479,1.14664,0.78997,0.64124,0.71131,0.32937,1.93509,1.11426,1.35601,0.000317,0.000317,0.000317
87,579.207,1.66216,0.86703,1.13952,0.78171,0.64021,0.70913,0.32342,1.94907,1.08489,1.36169,0.0002972,0.0002972,0.0002972
88,585.795,1.6745,0.86058,1.14686,0.79858,0.64727,0.72081,0.32785,1.9595,1.04697,1.37916,0.0002774,0.0002774,0.0002774
89,592.452,1.59515,0.82343,1.13258,0.77735,0.62398,0.70019,0.32286,1.95443,1.09302,1.3763,0.0002576,0.0002576,0.0002576
90,599.129,1.62855,0.89322,1.13698,0.77451,0.63257,0.69703,0.31994,1.97108,1.0759,1.37714,0.0002378,0.0002378,0.0002378
91,617.196,1.65919,0.86645,1.16594,0.78311,0.62081,0.68364,0.30743,1.98253,1.097,1.3896,0.000218,0.000218,0.000218
92,623.246,1.67657,0.85695,1.15786,0.78152,0.6555,0.70694,0.32204,1.96058,1.02594,1.3783,0.0001982,0.0001982,0.0001982
93,629.298,1.65761,0.83266,1.16911,0.79933,0.62728,0.70029,0.3221,1.96691,1.06905,1.38001,0.0001784,0.0001784,0.0001784
94,635.336,1.64979,0.83458,1.16509,0.78442,0.64727,0.71571,0.32345,1.96778,1.0475,1.37846,0.0001586,0.0001586,0.0001586
95,641.384,1.58548,0.79578,1.15334,0.78748,0.62787,0.69502,0.3203,1.97516,1.09032,1.37748,0.0001388,0.0001388,0.0001388
96,647.418,1.64649,0.83529,1.16305,0.78553,0.64198,0.70881,0.32462,1.9677,1.0667,1.37264,0.000119,0.000119,0.000119
97,653.464,1.62682,0.81837,1.15243,0.8043,0.62434,0.7081,0.32483,1.974,1.0659,1.37979,9.92e-05,9.92e-05,9.92e-05
98,659.486,1.61577,0.8148,1.14911,0.78193,0.63374,0.70343,0.32276,1.97316,1.06789,1.38122,7.94e-05,7.94e-05,7.94e-05
99,665.704,1.59389,0.80017,1.14367,0.77631,0.63656,0.69505,0.32,1.97932,1.07549,1.38175,5.96e-05,5.96e-05,5.96e-05
100,671.925,1.57453,0.80967,1.15652,0.78216,0.63727,0.70171,0.32237,1.97768,1.07873,1.38166,3.98e-05,3.98e-05,3.98e-05
